Name	Set	ImageFile	Release	Info	Property	Uniqueness	Type	Mission/ Dilemma Type	Affil	Class	Int/Rng	Cun/Wpn	Str/Shd	Points	Region	Quadrant	Span	Icons	Staff	Characteristics/ Keywords	Requires	Persona	Command	Reports	Names	Text
Betazoid Gift Box *VP	Virtual_OTF_Open_Warp	35VP_BGB	VP	35 VP	TNG		Artifact																			Immediately look through your draw deck for up to thirty seconds and choose three cards to place in your hand. Reshuffle draw deck and discard artifact.
Garak*	Trad_Virtual_OTF_Open_Warp	21V-Garak	IC	21 V	DS9		Personnel		Non-Aligned/Cardassian	CIVILIAN	7	8	6					[AU][Stf]		Cardassian; Male;		Garak				CIVILIAN SECURITY Computer Skill Honor May replace anyone present randomly selected to die.
U.S.S. Voyager (Chain of Command)	Virtual_OTF_Open_Warp	13-V_ussvoyager	coc	13 V	VOY		Ship		Federation	Intrepid Class	8	8	8						[Cmd][Stf] 	Federation ship; Holodeck; Tractor Beam;	Shuttlecraft;	U.S.S. Voyager				Shuttlecraft you download may come from discard pile. Holodeck, Tractor Beam
Ilon Tandro*	Trad_Virtual_OTF_Open_Warp	6V-Ilon-Tandro	IC	6 V	DS9		Personnel		Cardassian/Federation	V.I.P.	5	8	4					[Stf]		Klaestron; Capturing-related card; Deep Space 9-related personnel; Male;		Ilon Tandro				V.I.P. Diplomacy ENGINEER Treachery Once per game, may capture one personnel present.
Hajur *VP	Trad_Virtual_OTF_Open_Warp	91VP	VP	91 VP	VOY		Personnel		Non-Aligned/Hirogen	CIVILIAN	7	9	9					[Cmd][DQ]		Hirogen; Male; Tsunkatse-related card;		Hajur		War Council		CIVILIAN Leadership Biology MEDICAL Anthropology Geology Archaeology
K'mpec (Chain of Command)	Virtual_OTF_Open_Warp	7-V_kmpec	coc	7 V	TNG		Personnel		Klingon	V.I.P.	5	8	5					[Cmd]		Klingon; Capturing-related card; Chancellor; High Council; High Council Leader; Male;		K'mpec		The Great Hall		V.I.P. Leadership Law Diplomacy DL/ {Kle'eg} DL/ {HQ: Secure Homeworld}
Captain Kirk (Chain of Command)	Virtual_OTF_Open_Warp	3-V_captainkirk	coc	3 V	TOS		Personnel		Federation	OFFICER	8	8	8					[AU][Cmd][OS]		Human; Captain; Male;	Captains Order;	Captain Kirk	Starship Enterprise			OFFICER Leadership x 2 DL/ Any Captain's Order card If with {any Spock} and {any McCoy}, all three are attributes all +1.
Stefan DeSeve*	Virtual_OTF_Open_Warp	11V-Stefan-DeSeve	IC	11 V	TNG		Personnel		Federation/Romulan	CIVILIAN	5	8	5					[AU][Stf]		Human; Male; Romulan underground;		Stefan DeSeve				CIVILIAN Romulan: Treachery, Greed Federation: OFFICER, Treachery, INTEGRITY -1
Benjamin Sisko (Chain of Command)	Virtual_OTF_Open_Warp	2-V_benjaminsisko	coc	2 V	DS9		Personnel		Federation	OFFICER	8	7	8					[Cmd]		Human; Male;		Benjamin Sisko				OFFICER Leadership ENGINEER Honor DL/ {Any Jake} DL/ {Emergency Evacuation}
Starship Enterprise (Chain of Command)	Virtual_b00_OTF_Open_Warp	9-V_starshipenterprise	coc	9 V	TOS		Ship		Federation	Constitution Class	6	5	6					[AU][OS]	[OS] 	Federation ship; Tractor Beam;		Starship Enterprise				Tractor Beam DL/ {Where No Man Has Gone Before}
